Bill of Materials,Ultimaker 2,,,,,,,,,,
,,,,,,,,,,,
Total quantity parts,375,,,,,,,,,,
,,,,,,,,,,,
Partnummer,,,Name,,partnummer,Material,,Description,Quantity,Description,
1011,A2P,A,Y-linear shaft,S1011-A2P-A,B1011-A2P-A,,,2,2,,
1012,A2P,A,X-linear shaft,S1012-A2P-A,B1012-A2P-A,,,2,2,,
1021,Z1P,A,Ball Bearing 688-2RS,S1021-Z1P-A,B1021-Z1P-A,,,,1,,
1024,Z2P,C,"Limit Switch, Black Short Wire",S1024-Z1P-A,B1024-Z1P-A,,,,1,,
1056,A2P,A,Sintered Bushing,S1056-A2P-A,B1056-A2P-A,,,,4,,
1065,Z1P,B,Linear Bearing LM6LUU,,,,,,2,,
1069,Z1P,A,Tube Coupling Collet,S1069-Z1P-A,B1069-Z1P-A,,,,2,,
1071,Z2P,A,Clamp Clip,S1071-Z1P-A,B1071-Z1P-A,,,,2,,
1074,Z2P,A,Print Head Thumb screw,,,,,,4,,
1091,B2P,C,Main board v2.1.1,S1091-B1P-A,B1091-B1P-A,,,,1,,
1140,Z1P,A,Feeder Spring DR2110,,,,,,1,,
1144,Z1P,A,USB Cable,,,,,,1,,
,,,,,,,,,,,
1152,Z1P,B,Table Spring D2150,S1152-B2P-A,B1152-B2P-A,,,,3,,
1153,B2P,B,Print Table Base Plate,S1153-B2P-A,B1153-B2P-A,,,,1,,
1154,B2P,A,Print Table Glass,S1154-B2P-A,B1154-B2P-A,,,,1,,
1155,B2P,A,Print Table Heated Bed,S1155-B2P-A,B1155-B2P-A,,,,1,,
1156,B2P,A,Z-shaft Cap Bottom,S1156-B2P-A,B1156-B2P-A,,,,2,,
1157,B2P,A,Print Table Back Cover,S1157-B2P-A,B1157-B2P-A,,,,1,,
1158,B2P,A,Reel Holder,S1158-B2P-A,B1158-B2P-A,,,,1,,
1159,B2P,B,Z-Motor with Trapezoidal Lead Srew,S1159-B2P-A,B1159-B2P-A,,,,1,,
1161,B2P,D,LED Strip Cold white,S1161-B2P-A,B1161-B2P-A,,,,1,,
1162,B2P,B,"Limit Switch, Blue Wire",S1162-B2P-A,B1162-B2P-A,,,,1,,
1163,B2P,B,"Limit Switch, Red Wire",S1163-B2P-A,B1163-B2P-A,,,,1,,
,,,,,,,,,,,
1165,B2P,A,Timing Pulley 5mm Shaft GT2,S1165-B2P-A,B1165-B2P-A,,,,2,,
1166,B2P,B,Timing Pulley 8mm Shaft GT2,S1166-B2P-A,B1166-B2P-A,,,,8,,
1167,B2P,A,Timing Pulley Double 8mm Shaft GT2,S1167-B2P-A,B1167-B2P-A,,,,1,,
1168,B2P,B,Sliding Block Spring,S1168-B2P-A,B1168-B2P-A,,,,4,,
1169,B2P,B,Z-linear Shaft,S1169-B2P-A,B1169-B2P-A,,,,2,,
1170,B2P,B,Square Flanged Linear Bearing LMK12LUU,S1170-B2P-A,B1170-B2P-A,,,,2,,
1171,B2P,B,Double flat Cable 10 Wire,S1171-B2P-A,B1171-B2P-A,,,,1,,
1172,B2P,A,Print Head Shaft X,S1172-B2P-A,B1172-B2P-A,,,,1,,
1173,B2P,A,Print Head Shaft Y,S1173-B2P-A,B1173-B2P-A,,,,1,,
1176,B2P,A,Spacer 8.2x10x5,S1176-B2P-A,B1176-B2P-A,,,,2,,
1177,B2P,A,Spacer 8.2x10x10,S1177-B2P-A,B1177-B2P-A,,,,5,,
1178,B2P,A,Spacer 8.2x10x25,S1178-B2P-A,B1178-B2P-A,,,,1,,
1179,B2P,A,Feeder Motor,S1179-B2P-A,B1179-B2P-A,,,,1,,
1182,B2P,A,"X,Y Motor",S1182-B2P-A,B1182-B2P-A,,,,2,,
1183,B2P,B,Heated Bed Cable,S1183-B2P-A,B1183-B2P-A,,,,1,,
1185,B2P,A,PT100 B sensor,S1185-B2P-A,B1185-B2P-A,,,,1,,
1186,B2P,A,Print Head Cable,,,,,,1,,
1187,B2P,A,Trapezoidal Lead Nut,S1187-B2P-A,B1187-B2P-A,,,,1,,
1188,Z1P,A,Timing Belt GT2 200,,,,,,2,,
1189,Z1P,A,Timing Belt GT2 610,,,,,,4,,
,,,,,,,,,,,
,,,boutjes en moeren,,,,,,,,
1200,Z1P,A,ISO 7380 M3x8,,,,,,10,,
1201,Z1P,B,Washer Large M3,S1201-Z1P-A,B1201-Z1P-A,,,,12,,
1202,Z1P,B,ISO 7380 M3x10,S1202-Z1P-A,B1202-Z1P-A,,,,15,,
